Дата,Пользователь,Страниц,Копий,Принтер,Документ,Компьютер,Формат листа,Драйвер,Высота,Ширина,Двусторонняя печать,Черно-белый,Размер файла
2026-04-01 05:12:35,romuald.lyubitskiy,2,1,HP LaserJet MFP M430-431 PCL-6 (V4) (201),"Табличный документ",EKA-WS-UXM00711,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,388kb,
2026-04-01 06:34:28,eka-uzhm-nachsmen,1,2,HP LaserJet MFP M430-431 PCL-6 (V4),"Microsoft Word - Отчёт ПДУ 31.03.26",EKA-WS-UXM00691,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,409kb,
2026-04-01 06:38:14,t.filinkova,2,1,Kyocera ECOSYS M2040dn KX,"Табличный документ",EKA-WS-UXM00804,A4,EMF,,,DUPLEX,GRAYSCALE,401kb,
2026-04-01 06:49:11,aleksandr.bespyatykh,2,20,HP LaserJet MFP M430-431 PCL-6 (V4),"Microsoft Word - Предъявительская записка (первое)",EKA-WS-UXM00960,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,369kb,
2026-04-01 06:57:19,m.khomyakov,1,1,Kyocera ECOSYS M2040dn KX,"Служебная записка № 760_171ВП от 31.03.2026 пропуск для сюрвейера (штамп).pdf",EKA-WS-UXM00513,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,185kb,
2026-04-01 06:58:30,m.khomyakov,1,1,Kyocera ECOSYS M2040dn KX,"шестириков104.pdf",EKA-WS-UXM00513,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,151kb,
2026-04-01 06:59:17,m.khomyakov,1,1,Kyocera ECOSYS M2040dn KX,"шестириков104.pdf",EKA-WS-UXM00513,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,151kb,
2026-04-01 06:59:29,m.khomyakov,1,1,Kyocera ECOSYS M2040dn KX,"бурдов104.pdf",EKA-WS-UXM00513,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,148kb,
2026-04-01 06:59:39,m.khomyakov,1,1,Kyocera ECOSYS M2040dn KX,"морозов104.pdf",EKA-WS-UXM00513,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,150kb,
2026-04-01 06:59:53,m.khomyakov,1,1,Kyocera ECOSYS M2040dn KX,"эрзяйкин104.pdf",EKA-WS-UXM00513,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,150kb,
2026-04-01 07:00:11,m.khomyakov,1,1,Kyocera ECOSYS M2040dn KX,"Служебная записка № 760_172ВП от 31.03.2026 О пропуске на инспектора (штамп).pdf",EKA-WS-UXM00513,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,179kb,
2026-04-01 07:01:05,m.khomyakov,3,1,Kyocera ECOSYS M2040dn KX,"Приложение к Приказу Порядок организации отдыха детей работников и формы заявлений.pdf",EKA-WS-UXM00513,A4,PCL6,,,DUPLEX,GRAYSCALE,2203kb,
2026-04-01 07:01:26,m.khomyakov,3,1,Kyocera ECOSYS M2040dn KX,"Приложение к Приказу Порядок организации отдыха детей работников и формы заявлений.pdf",EKA-WS-UXM00513,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,2203kb,
2026-04-01 07:04:21,aleksandr.bespyatykh,2,50,HP LaserJet MFP M430-431 PCL-6 (V4),"Microsoft Word - Предъявительская записка (первое)",EKA-WS-UXM00960,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,369kb,
2026-04-01 07:08:54,sergey.smolin,1,1,Kyocera ECOSYS M2040dn KX,"Microsoft Word - 31 03",EKA-WS-UXM00337,A4,PCL6,,,DUPLEX,GRAYSCALE,93kb,
2026-04-01 07:13:33,eka-uzhm-nachsmen,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Microsoft Word - Отчёт ПДУ 01.04.26",EKA-WS-UXM00691,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,406kb,
2026-04-01 07:16:48,eka-uzhm-nachsmen,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"ССЗ 01.04.26.xlsx",EKA-WS-UXM00691,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,359kb,
2026-04-01 07:17:51,renat.khusainov,1,1,HP LaserJet M1530 MFP Series PCL 6,"Microsoft Word - тех реш 375",EKA-WS-UXM00646,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,43kb,
